date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:43:01	28318/28318	---M--	200	added ('OK')	image/png	etag:%225df3100e-6e9e%22	https://maxcoach.thememove.com/main/wp-content/uploads/sites/1/2019/12/home-2-image-box-01.png	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/uploads/sites/1/2019/12/home-2-image-box-01.png	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:02	215894/215894	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Sep%202022%2005:13:00%20GMT	https://maxcoach.thememove.com/main/course/personal-finance-financial-security-thinking-principles-2/	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/course/personal-finance-financial-security-thinking-principles-2/index.html	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:02	223784/223784	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Sep%202022%2005:13:01%20GMT	https://maxcoach.thememove.com/main/course/academic-listening-and-note-taking/	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/course/academic-listening-and-note-taking/index.html	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:03	13369/13369	---M--	200	added ('OK')	image/png	etag:%225de4df37-3439%22	https://maxcoach.thememove.com/main/wp-content/uploads/sites/1/2019/12/about-us-02-image-box-02.png	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/uploads/sites/1/2019/12/about-us-02-image-box-02.png	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:03	11443/11443	---M--	200	added ('OK')	image/png	etag:%225df31226-2cb3%22	https://maxcoach.thememove.com/main/wp-content/uploads/sites/1/2019/12/home-2-image-box-03.png	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/uploads/sites/1/2019/12/home-2-image-box-03.png	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:04	64187/64187	---M--	200	added ('OK')	image/jpeg	etag:%225df3137d-fabb%22	https://maxcoach.thememove.com/main/wp-content/uploads/sites/1/2019/12/home-2-popup-video-poster.jpg	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/uploads/sites/1/2019/12/home-2-popup-video-poster.jpg	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:04	448/448	---M--	200	added ('OK')	image/png	etag:%225de4c186-1c0%22	https://maxcoach.thememove.com/main/wp-content/uploads/sites/1/2019/12/maxcoach-shape-01.png	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/uploads/sites/1/2019/12/maxcoach-shape-01.png	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:04	36998/36998	---M--	200	added ('OK')	image/jpeg	etag:%225fe9685d-9086%22	https://maxcoach.thememove.com/main/wp-content/uploads/sites/1/2020/12/home-personal-finance-blog-03-480x352.jpg	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/uploads/sites/1/2020/12/home-personal-finance-blog-03-480x352.jpg	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:05	25931/25931	---M--	200	added ('OK')	image/jpeg	etag:%225fe9685d-654b%22	https://maxcoach.thememove.com/main/wp-content/uploads/sites/1/2020/12/home-personal-finance-blog-02-480x352.jpg	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/uploads/sites/1/2020/12/home-personal-finance-blog-02-480x352.jpg	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:05	11370/11370	---M--	200	added ('OK')	image/png	etag:%225de4d0e9-2c6a%22	https://maxcoach.thememove.com/main/wp-content/uploads/sites/1/2019/12/maxcoach-shape-09.png	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/uploads/sites/1/2019/12/maxcoach-shape-09.png	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:06	205984/205984	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Sep%202022%2005:13:05%20GMT	https://maxcoach.thememove.com/main/promoting-your-online-business-on-pinterest/	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/promoting-your-online-business-on-pinterest/index.html	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Sep%202022%2005:13:06%20GMT	https://maxcoach.thememove.com/main/maxcoach-education	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/maxcoach-education	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:08	206196/206196	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Sep%202022%2005:13:06%20GMT	https://maxcoach.thememove.com/main/gamification-and-game-based-learning/	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/gamification-and-game-based-learning/index.html	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:08	206421/206421	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Sep%202022%2005:13:06%20GMT	https://maxcoach.thememove.com/main/designing-an-online-course-from-experts-perspective/	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/designing-an-online-course-from-experts-perspective/index.html	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:08	205872/205872	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Sep%202022%2005:13:06%20GMT	https://maxcoach.thememove.com/main/why-online-courses-are-the-future-of-education/	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/why-online-courses-are-the-future-of-education/index.html	(from https://maxcoach.thememove.com/main/course-portal/)
10:43:08	205892/205892	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Sep%202022%2005:13:07%20GMT	https://maxcoach.thememove.com/main/ten-benefits-of-rentals-that-may-change-your-perspective/	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/ten-benefits-of-rentals-that-may-change-your-perspective/index.html	(from https://maxcoach.thememove.com/main/course-portal/)
